max_depth,mean_cv,aucroc
1,0.4938839564612575,0.631567569571063
2,0.7373868635916723,0.6932393540939972
3,0.8020410184380985,0.8702281792333131
4,0.7508105113598276,0.8502649593459999
5,0.7159693095525819,0.8289740777844665
6,0.6812872194278699,0.90347190841808
